"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.04.2022","190.957","191.547","192.160","189.749","0,39K","-0,34%"
"22.04.2022","191.601","188.771","192.130","187.418","0,47K","1,50%"
"21.04.2022","188.777","192.568","199.958","185.978","0,36K","-2,00%"
"20.04.2022","192.636","194.844","198.407","190.204","0,41K","-1,18%"
"19.04.2022","194.928","191.145","195.770","190.040","0,32K","2,01%"
"18.04.2022","191.090","188.271","192.252","183.260","0,41K","1,48%"
"17.04.2022","188.301","191.514","192.246","187.701","0,12K","-1,68%"
"16.04.2022","191.514","192.391","192.825","189.800","0,10K","-0,42%"
"15.04.2022","192.320","189.292","193.011","188.689","0,16K","1,62%"
"14.04.2022","189.261","194.543","196.016","187.281","0,30K","-2,69%"
"13.04.2022","194.491","188.910","195.530","186.330","0,38K","2,96%"
"12.04.2022","188.897","187.679","192.000","185.226","0,47K","0,78%"
"11.04.2022","187.435","199.919","201.079","186.095","0,50K","-6,38%"
"10.04.2022","200.204","203.012","205.895","198.918","0,17K","-1,31%"
"09.04.2022","202.866","200.321","203.012","199.861","0,14K","1,22%"
"08.04.2022","200.411","208.145","210.403","199.897","0,42K","-3,78%"
"07.04.2022","208.280","205.346","209.350","203.543","0,32K","1,36%"
"06.04.2022","205.488","213.299","213.446","205.118","0,54K","-3,68%"
"05.04.2022","213.341","216.000","218.996","213.265","0,40K","-1,28%"
"04.04.2022","216.106","218.227","218.306","210.115","0,71K","-0,95%"
"03.04.2022","218.172","215.574","222.722","214.170","0,35K","1,24%"
"02.04.2022","215.510","217.610","221.287","214.790","0,44K","-1,11%"
"01.04.2022","217.918","217.793","221.396","211.531","0,54K","0,08%"
"31.03.2022","217.750","226.422","228.442","216.300","0,47K","-3,83%"
"30.03.2022","226.432","227.401","229.293","223.555","0,40K","-0,51%"
"29.03.2022","227.603","225.914","229.770","225.476","0,35K","0,89%"
"28.03.2022","225.602","222.942","230.914","222.223","0,47K","1,12%"
"27.03.2022","223.098","213.014","223.098","212.693","0,26K","4,71%"
"26.03.2022","213.056","212.116","214.216","211.196","0,18K","0,55%"
"25.03.2022","211.896","213.056","217.404","211.250","0,40K","-0,54%"
"24.03.2022","213.051","208.621","214.991","206.508","0,49K","2,13%"
"23.03.2022","208.609","209.571","210.471","205.000","0,39K","-0,47%"
"22.03.2022","209.585","203.890","213.726","203.309","0,60K","2,76%"
"21.03.2022","203.947","208.537","209.459","203.182","0,39K","-2,18%"
"20.03.2022","208.485","213.062","213.463","206.745","0,15K","-2,18%"
"19.03.2022","213.141","210.777","213.868","209.351","0,19K","1,20%"
"18.03.2022","210.623","206.849","212.973","203.588","74,19M","1,80%"
"17.03.2022","206.903","209.197","210.851","205.156","78,67M","-1,06%"
"16.03.2022","209.129","202.063","213.445","199.582","139,80M","3,43%"
"15.03.2022","202.186","202.717","204.994","195.728","86,19M","-0,36%"
"14.03.2022","202.918","192.875","203.584","192.016","85,66M","5,24%"
"13.03.2022","192.820","197.584","199.911","191.800","41,38M","-2,40%"
"12.03.2022","197.570","197.162","200.722","196.918","63,40M","0,21%"
"11.03.2022","197.156","198.930","202.588","193.232","92,58M","-1,01%"
"10.03.2022","199.173","211.734","211.982","196.042","85,70M","-5,83%"
"09.03.2022","211.508","197.548","215.136","197.314","82,45M","6,94%"
