"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.04.2022","191.274","191.693","191.952","190.000","0,02K","-0,28%"
"22.04.2022","191.813","188.948","192.000","187.581","0,03K","1,48%"
"21.04.2022","189.007","192.540","199.834","188.123","0,05K","-1,83%"
"20.04.2022","192.540","194.993","198.000","190.000","0,04K","-1,26%"
"19.04.2022","194.993","191.156","195.369","190.200","0,03K","2,21%"
"18.04.2022","190.776","188.365","192.000","184.072","0,05K","1,28%"
"17.04.2022","188.365","191.719","191.902","187.994","0,01K","-1,75%"
"16.04.2022","191.719","191.721","192.499","189.681","0,01K","-0,00%"
"15.04.2022","191.721","189.240","192.275","188.592","0,02K","1,31%"
"14.04.2022","189.240","194.472","196.000","187.500","0,03K","-2,69%"
"13.04.2022","194.472","189.612","195.475","186.734","0,05K","2,57%"
"12.04.2022","189.594","188.223","191.598","185.569","0,09K","1,14%"
"11.04.2022","187.452","200.325","201.358","187.000","0,13K","-6,68%"
"10.04.2022","200.864","202.886","206.125","200.080","0,02K","-1,10%"
"09.04.2022","203.108","200.711","203.216","200.236","0,02K","1,19%"
"08.04.2022","200.711","207.868","210.150","200.222","0,05K","-3,76%"
"07.04.2022","208.557","205.773","209.759","203.330","0,03K","1,52%"
"06.04.2022","205.440","213.257","213.542","205.400","0,05K","-3,79%"
"05.04.2022","213.542","216.187","219.745","213.025","0,03K","-1,22%"
"04.04.2022","216.187","218.321","218.337","210.246","0,04K","-0,83%"
"03.04.2022","218.000","215.680","222.531","214.567","0,01K","1,08%"
"02.04.2022","215.680","217.842","220.800","215.007","0,02K","-0,99%"
"01.04.2022","217.842","217.397","221.181","211.396","0,05K","0,13%"
"31.03.2022","217.556","225.899","227.947","216.221","0,05K","-3,91%"
"30.03.2022","226.413","227.610","229.000","223.258","0,03K","-0,53%"
"29.03.2022","227.610","225.218","229.500","225.000","0,04K","0,97%"
"28.03.2022","225.414","222.738","230.411","221.807","0,08K","1,08%"
"27.03.2022","222.999","213.359","223.051","212.500","0,03K","4,74%"
"26.03.2022","212.910","212.000","214.000","211.212","0,01K","0,43%"
"25.03.2022","212.000","213.064","217.000","211.212","0,05K","-0,50%"
"24.03.2022","213.064","208.450","214.900","206.503","0,06K","2,21%"
"23.03.2022","208.450","209.120","210.147","205.500","0,03K","-0,48%"
"22.03.2022","209.458","204.191","213.375","203.578","0,06K","2,58%"
"21.03.2022","204.191","207.898","209.127","203.130","0,04K","-1,78%"
"20.03.2022","207.898","212.948","212.948","206.950","0,03K","-2,37%"
"19.03.2022","212.948","210.778","213.736","209.070","0,03K","1,03%"
"18.03.2022","210.778","206.219","212.640","203.783","0,05K","1,85%"
"17.03.2022","206.944","208.046","209.980","205.000","0,04K","-0,53%"
"16.03.2022","208.046","201.725","212.697","199.800","0,12K","3,13%"
"15.03.2022","201.725","202.628","204.445","196.141","0,05K","-0,45%"
"14.03.2022","202.628","193.410","203.500","192.711","0,04K","4,77%"
"13.03.2022","193.410","197.696","199.549","192.008","0,02K","-2,17%"
"12.03.2022","197.696","197.250","200.000","196.959","0,01K","0,22%"
