"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.04.2022","39.580,1","39.709,2","39.825,2","39.303,2","36,56K","-0,34%"
"22.04.2022","39.715,1","40.473,4","40.778,6","39.205,9","46,67K","-1,89%"
"21.04.2022","40.480,4","41.338,6","42.940,9","39.877,6","59,31K","-2,10%"
"20.04.2022","41.350,8","41.467,9","42.172,9","40.909,8","40,88K","-0,34%"
"19.04.2022","41.493,2","40.801,1","41.693,5","40.580,0","35,80K","1,70%"
"18.04.2022","40.799,7","39.650,1","41.052,7","38.584,0","54,23K","2,78%"
"17.04.2022","39.696,0","40.389,1","40.581,4","39.567,2","19,98K","-1,68%"
"16.04.2022","40.374,4","40.551,6","40.673,7","39.995,6","15,81K","-0,44%"
"15.04.2022","40.554,5","39.916,1","40.770,9","39.790,0","24,02K","1,55%"
"14.04.2022","39.933,9","41.147,8","41.500,0","39.587,1","36,81K","-2,91%"
"13.04.2022","41.131,8","40.087,8","41.488,5","39.601,7","41,34K","2,66%"
"12.04.2022","40.065,6","39.535,5","40.642,5","39.275,7","57,75K","1,44%"
"11.04.2022","39.496,3","42.136,1","42.411,7","39.300,0","63,56K","-6,25%"
"10.04.2022","42.128,3","42.765,2","43.395,2","41.894,4","22,77K","-1,48%"
"09.04.2022","42.760,4","42.233,3","42.788,2","42.128,0","17,89K","1,14%"
"08.04.2022","42.277,8","43.454,0","43.935,8","42.124,4","42,38K","-2,73%"
"07.04.2022","43.462,9","43.136,3","43.889,1","42.748,8","37,40K","0,68%"
"06.04.2022","43.170,0","45.452,6","45.499,9","43.126,5","60,85K","-5,08%"
"05.04.2022","45.480,0","46.574,7","47.179,5","45.410,0","42,18K","-2,44%"
"04.04.2022","46.615,5","46.413,0","46.881,5","45.145,2","44,65K","0,45%"
"03.04.2022","46.407,0","45.818,0","47.378,9","45.553,8","33,40K","1,32%"
"02.04.2022","45.803,0","46.275,0","47.154,4","45.671,0","37,08K","-1,04%"
"01.04.2022","46.284,6","45.533,2","46.685,3","44.245,7","56,27K","1,69%"
"31.03.2022","45.515,0","47.043,5","47.565,1","45.240,5","48,64K","-3,29%"
"30.03.2022","47.063,6","47.429,3","47.690,0","46.590,5","40,95K","-0,80%"
"29.03.2022","47.442,2","47.133,9","48.072,3","47.046,5","36,78K","0,69%"
"28.03.2022","47.115,6","46.808,8","48.162,9","46.675,6","58,94K","0,60%"
"27.03.2022","46.835,0","44.511,3","46.911,2","44.427,3","41,88K","5,20%"
"26.03.2022","44.518,0","44.331,0","44.786,0","44.093,0","23,04K","0,46%"
"25.03.2022","44.312,7","43.965,5","45.057,0","43.618,5","54,61K","0,72%"
"24.03.2022","43.995,0","42.882,8","44.188,0","42.681,6","56,20K","2,59%"
"23.03.2022","42.882,8","42.357,2","42.994,0","41.789,0","40,82K","1,22%"
"22.03.2022","42.364,1","40.997,0","43.235,5","40.884,9","59,46K","3,28%"
"21.03.2022","41.017,4","41.281,8","41.499,0","40.529,0","39,43K","-0,58%"
"20.03.2022","41.256,1","42.201,1","42.287,0","40.920,0","30,65K","-2,25%"
"19.03.2022","42.204,4","41.779,4","42.357,0","41.530,0","29,07K","1,06%"
"18.03.2022","41.760,9","40.930,7","42.296,8","40.237,3","1,86B","2,08%"
"17.03.2022","40.910,0","41.132,0","41.397,9","40.551,4","1,52B","-0,50%"
