"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.04.2022","39.576,0","39.709,0","39.852,0","39.291,0","335,65M","-0,33%"
"22.04.2022","39.709,0","40.487,0","40.792,0","39.200,0","421,23M","-1,91%"
"21.04.2022","40.482,0","41.370,0","42.969,0","39.793,0","492,97M","-2,15%"
"20.04.2022","41.370,0","41.503,0","42.203,0","40.915,0","382,77M","-0,32%"
"19.04.2022","41.503,0","40.803,0","41.746,0","40.585,0","268,24M","1,72%"
"18.04.2022","40.803,0","39.700,0","41.099,0","38.577,0","484,19M","2,78%"
"17.04.2022","39.700,0","40.382,0","40.599,0","39.561,0","209,98M","-1,69%"
"16.04.2022","40.382,0","40.571,0","40.691,0","40.003,0","151,29M","-0,44%"
"15.04.2022","40.560,0","39.935,0","40.850,0","39.781,0","233,06M","1,56%"
"14.04.2022","39.936,0","41.133,0","41.494,0","39.585,0","294,24M","-2,91%"
"13.04.2022","41.133,0","40.059,0","41.540,0","39.581,0","406,65M","2,63%"
"12.04.2022","40.078,0","39.497,0","40.678,0","39.265,0","468,19M","1,47%"
"11.04.2022","39.497,0","42.138,0","42.418,0","39.202,0","608,29M","-6,27%"
"10.04.2022","42.138,0","42.760,0","43.421,0","41.884,0","255,80M","-1,45%"
"09.04.2022","42.760,0","42.275,0","42.809,0","42.126,0","165,14M","1,15%"
"08.04.2022","42.275,0","43.450,0","43.979,0","42.113,0","467,78M","-2,70%"
"07.04.2022","43.450,0","43.171,0","43.893,0","42.746,0","390,80M","0,66%"
"06.04.2022","43.166,0","45.494,0","45.519,0","43.122,0","648,63M","-5,12%"
"05.04.2022","45.494,0","46.612,0","47.201,0","45.388,0","421,05M","-2,40%"
"04.04.2022","46.612,0","46.407,0","46.899,0","45.140,0","446,06M","0,44%"
"03.04.2022","46.407,0","45.811,0","47.442,0","45.554,0","398,81M","1,30%"
"02.04.2022","45.811,0","46.292,0","47.212,0","45.641,0","345,88M","-1,04%"
"01.04.2022","46.292,0","45.525,0","46.728,0","44.261,0","633,15M","1,68%"
"31.03.2022","45.525,0","47.075,0","47.624,0","45.228,0","519,93M","-3,29%"
"30.03.2022","47.075,0","47.449,0","47.714,0","46.568,0","467,70M","-0,79%"
"29.03.2022","47.449,0","47.126,0","48.127,0","47.029,0","478,76M","0,73%"
"28.03.2022","47.105,0","46.859,0","48.199,0","46.672,0","610,19M","0,52%"
"27.03.2022","46.859,0","44.542,0","46.954,0","44.445,0","388,73M","5,20%"
"26.03.2022","44.542,0","44.331,0","44.818,0","44.090,0","196,27M","0,48%"
"25.03.2022","44.331,0","44.013,0","45.129,0","43.622,0","494,01M","0,72%"
"24.03.2022","44.013,0","42.911,0","44.251,0","42.658,0","491,58M","2,57%"
"23.03.2022","42.912,0","42.373,0","43.027,0","41.765,0","433,90M","1,27%"
"22.03.2022","42.373,0","41.010,0","43.328,0","40.893,0","536,97M","3,32%"
"21.03.2022","41.010,0","41.276,0","41.555,0","40.530,0","406,45M","-0,64%"
"20.03.2022","41.276,0","42.241,0","42.301,0","40.922,0","308,41M","-2,28%"
"19.03.2022","42.241,0","41.797,0","42.386,0","41.528,0","224,55M","1,06%"
"18.03.2022","41.796,0","40.933,0","42.356,0","40.173,0","452,67M","2,11%"
"17.03.2022","40.933,0","41.131,0","41.451,0","40.583,0","376,99M","-0,48%"
"16.03.2022","41.131,0","39.294,0","41.708,0","38.868,0","916,14M","4,68%"
"15.03.2022","39.294,0","39.679,0","39.900,0","38.164,0","456,67M","-0,97%"
"14.03.2022","39.679,0","37.771,0","39.916,0","37.571,0","508,19M","5,01%"
"13.03.2022","37.787,0","38.808,0","39.313,0","37.581,0","279,26M","-2,63%"
"12.03.2022","38.808,0","38.733,0","39.362,0","38.671,0","168,05M","0,19%"
"11.03.2022","38.733,0","39.433,0","40.234,0","38.244,0","481,10M","-1,78%"
"10.03.2022","39.433,0","41.939,0","42.052,0","38.599,0","762,49M","-5,98%"
"09.03.2022","41.939,0","38.749,0","42.587,0","38.658,0","803,89M","8,23%"
"08.03.2022","38.749,0","38.023,0","39.372,0","37.876,0","515,57M","1,91%"
"07.03.2022","38.023,0","38.420,0","39.535,0","37.161,0","571,51M","-1,03%"
"06.03.2022","38.420,0","39.402,0","39.694,0","38.111,0","383,65M","-2,49%"
"05.03.2022","39.402,0","39.151,0","39.605,0","38.621,0","308,16M","0,64%"
"04.03.2022","39.151,0","39.794,7","39.845,9","38.587,1","679,62M","-9,89%"
