"Data","Último","Abertura","Máxima","Mínima","Var%"
"22.04.2022","5,1743","5,0099","5,2206","4,9877","3,31%"
"21.04.2022","5,0084","5,0167","5,0555","5,0030","-0,14%"
"20.04.2022","5,0152","5,0340","5,0711","4,9997","-0,38%"
"19.04.2022","5,0344","5,0184","5,0557","5,0075","0,37%"
"18.04.2022","5,0156","5,0766","5,0872","5,0068","-1,17%"
"15.04.2022","5,0750","5,0900","5,0936","5,0733","-0,26%"
"14.04.2022","5,0884","5,1077","5,1445","5,0714","-0,33%"
"13.04.2022","5,1050","5,0613","5,1120","5,0349","0,90%"
"12.04.2022","5,0595","5,1098","5,1129","5,0316","-0,97%"
"11.04.2022","5,1089","5,1356","5,1651","5,0957","0,01%"
"08.04.2022","5,1085","5,1707","5,1973","5,1045","-1,18%"
"07.04.2022","5,1697","5,1387","5,2039","5,1223","0,62%"
"06.04.2022","5,1377","5,0737","5,1512","5,0589","1,33%"
"05.04.2022","5,0705","5,0402","5,1100","5,0232","0,64%"
"04.04.2022","5,0383","5,1427","5,1505","5,0342","-2,13%"
"01.04.2022","5,1479","5,2452","5,2499","5,1389","-1,82%"
"31.03.2022","5,2432","5,3224","5,3365","5,2357","-1,45%"
"30.03.2022","5,3202","5,2748","5,3459","5,2568","0,91%"
"29.03.2022","5,2721","5,2352","5,3155","5,2277","0,73%"
"28.03.2022","5,2337","5,2123","5,2888","5,1895","0,51%"
"25.03.2022","5,2072","5,3083","5,3286","5,1944","-1,85%"
"24.03.2022","5,3054","5,3116","5,3413","5,2352","-0,09%"
"23.03.2022","5,3103","5,4159","5,4237","5,3078","-1,92%"
"22.03.2022","5,4141","5,4390","5,4612","5,4040","-0,40%"
"21.03.2022","5,4358","5,5566","5,5619","5,4345","-2,06%"
"18.03.2022","5,5500","5,5906","5,6048","5,5191","-0,67%"
"17.03.2022","5,5877","5,6024","5,6553","5,5772","-0,21%"
"16.03.2022","5,5995","5,6578","5,6890","5,5971","-0,97%"
"15.03.2022","5,6541","5,6019","5,6589","5,5984","0,97%"
"14.03.2022","5,6000","5,5535","5,6359","5,5184","1,16%"
"11.03.2022","5,5358","5,5047","5,5450","5,4869","0,59%"
"10.03.2022","5,5036","5,5517","5,6083","5,5039","-0,86%"
"09.03.2022","5,5511","5,5173","5,5630","5,5008","0,66%"
"08.03.2022","5,5148","5,5485","5,5835","5,5080","-0,58%"
"07.03.2022","5,5470","5,5449","5,5560","5,4703","0,29%"
"04.03.2022","5,5307","5,5697","5,5701","5,5148","-0,66%"
"03.03.2022","5,5674","5,6702","5,6735","5,5516","-1,83%"
"02.03.2022","5,6712","5,7421","5,7801","5,6576","-1,20%"
"01.03.2022","5,7399","5,7887","5,7969","5,7228","-0,85%"
"28.02.2022","5,7889","5,8191","5,8191","5,7432","-0,47%"
"25.02.2022","5,8164","5,7344","5,8263","5,6865","1,45%"
"24.02.2022","5,7333","5,6680","5,7646","5,5886","1,20%"
"23.02.2022","5,6655","5,7298","5,7465","5,6474","-1,10%"
"22.02.2022","5,7285","5,7735","5,8023","5,7192","-0,76%"
"21.02.2022","5,7722","5,8170","5,8520","5,7526","-0,78%"
"18.02.2022","5,8173","5,8768","5,8847","5,7852","-0,99%"
"17.02.2022","5,8752","5,8431","5,8878","5,8163","0,57%"
"16.02.2022","5,8417","5,8612","5,8881","5,8314","-0,29%"
"15.02.2022","5,8586","5,8969","5,9276","5,8583","-0,62%"
"14.02.2022","5,8954","5,9592","5,9727","5,8773","-1,11%"
"11.02.2022","5,9613","5,9998","6,0016","5,9040","-0,62%"
"10.02.2022","5,9987","5,9840","6,0151","5,9116","0,31%"
"09.02.2022","5,9799","6,0048","6,0542","5,9574","-0,38%"
"08.02.2022","6,0030","6,0237","6,0351","5,9928","-0,33%"
"07.02.2022","6,0226","6,0978","6,1084","6,0024","-1,24%"
"04.02.2022","6,0983","6,0448","6,1249","6,0409","0,90%"
"03.02.2022","6,0437","5,9493","6,0722","5,9332","1,62%"
"02.02.2022","5,9471","5,9348","6,0076","5,9327","0,23%"
"01.02.2022","5,9337","5,9592","5,9856","5,9253","-0,41%"
"31.01.2022","5,9581","5,9830","6,0151","5,9207","-0,38%"
"28.01.2022","5,9809","6,0266","6,0484","5,9819","-0,72%"
"27.01.2022","6,0245","6,1066","6,1090","5,9686","-1,31%"
"26.01.2022","6,1044","6,1525","6,1647","6,0896","-0,75%"
"25.01.2022","6,1508","6,2151","6,2253","6,1346","-1,01%"
"24.01.2022","6,2137","6,1845","6,2551","6,1644","0,39%"
