"Data","Último","Abertura","Máxima","Mínima","Var%"
"22.04.2022","4,7937","4,6214","4,8393","4,6214","3,71%"
"21.04.2022","4,6220","4,6224","4,6225","4,6224","0,00%"
"20.04.2022","4,6219","4,6663","4,6803","4,6080","-0,98%"
"19.04.2022","4,6675","4,6536","4,6866","4,6379","0,32%"
"18.04.2022","4,6527","4,6971","4,7091","4,6438","-0,93%"
"15.04.2022","4,6965","4,6971","4,6971","4,6970","-0,10%"
"14.04.2022","4,7013","4,6880","4,7417","4,6854","0,24%"
"13.04.2022","4,6899","4,6780","4,7056","4,6512","0,32%"
"12.04.2022","4,6747","4,6892","4,6945","4,6221","-0,42%"
"11.04.2022","4,6944","4,7056","4,7397","4,6783","-0,06%"
"08.04.2022","4,6970","4,7534","4,7950","4,6935","-1,17%"
"07.04.2022","4,7524","4,7093","4,7733","4,6894","0,77%"
"06.04.2022","4,7161","4,6523","4,7263","4,6460","1,41%"
"05.04.2022","4,6506","4,5950","4,6742","4,5805","1,26%"
"04.04.2022","4,5928","4,6595","4,6751","4,5885","-1,39%"
"01.04.2022","4,6575","4,7408","4,7408","4,6525","-1,72%"
"31.03.2022","4,7390","4,7709","4,7965","4,7215","-0,62%"
"30.03.2022","4,7685","4,7580","4,7924","4,7252","0,26%"
"29.03.2022","4,7561","4,7680","4,7850","4,7148","-0,24%"
"28.03.2022","4,7675","4,7526","4,8196","4,7326","0,54%"
"25.03.2022","4,7420","4,8273","4,8298","4,7297","-1,73%"
"24.03.2022","4,8253","4,8263","4,8591","4,7649","-0,01%"
"23.03.2022","4,8258","4,9108","4,9214","4,8215","-1,70%"
"22.03.2022","4,9094","4,9366","4,9514","4,9048","-0,55%"
"21.03.2022","4,9365","5,0251","5,0298","4,9316","-1,73%"
"18.03.2022","5,0236","5,0400","5,0755","4,9920","-0,33%"
"17.03.2022","5,0404","5,0787","5,1084","5,0289","-0,71%"
"16.03.2022","5,0765","5,1600","5,1600","5,0722","-1,70%"
"15.03.2022","5,1641","5,1229","5,1702","5,0929","0,85%"
"14.03.2022","5,1205","5,0599","5,1406","5,0377","0,90%"
"11.03.2022","5,0750","5,0119","5,0821","4,9815","1,27%"
"10.03.2022","5,0115","5,0145","5,0765","5,0100","-0,03%"
"09.03.2022","5,0128","5,0286","5,0362","4,9852","-0,94%"
"08.03.2022","5,0603","5,0805","5,1006","5,0444","-1,01%"
"07.03.2022","5,1120","5,0781","5,1151","5,0274","0,98%"
"04.03.2022","5,0625","5,0504","5,1019","5,0225","0,60%"
"03.03.2022","5,0324","5,0977","5,1151","5,0183","-1,33%"
"02.03.2022","5,1000","5,2143","5,2228","5,0868","-1,17%"
"01.03.2022","5,1605","5,1605","5,1605","5,1605","0,01%"
"28.02.2022","5,1601","5,1633","5,1633","5,1600","-0,05%"
"25.02.2022","5,1628","5,1197","5,1805","5,0787","0,77%"
"24.02.2022","5,1236","5,0050","5,1635","5,0050","2,26%"
"23.02.2022","5,0102","5,0620","5,0620","4,9938","-0,96%"
"22.02.2022","5,0587","5,1075","5,1075","5,0434","-0,88%"
"21.02.2022","5,1038","5,1370","5,1547","5,0740","-0,68%"
"18.02.2022","5,1390","5,1717","5,1766","5,1084","-0,64%"
"17.02.2022","5,1723","5,1355","5,1835","5,1235","0,69%"
"16.02.2022","5,1370","5,1593","5,1778","5,1225","-0,44%"
"15.02.2022","5,1595","5,2186","5,2211","5,1586","-1,07%"
"14.02.2022","5,2153","5,2550","5,2665","5,1951","-0,72%"
"11.02.2022","5,2532","5,2358","5,2660","5,1803","0,06%"
"10.02.2022","5,2501","5,2389","5,2557","5,1729","0,27%"
"09.02.2022","5,2359","5,2595","5,2906","5,2123","-0,45%"
"08.02.2022","5,2598","5,2634","5,2895","5,2507","-0,08%"
"07.02.2022","5,2641","5,3258","5,3281","5,2491","-1,21%"
"04.02.2022","5,3284","5,3017","5,3507","5,2779","0,83%"
"03.02.2022","5,2844","5,2760","5,3230","5,2714","0,42%"
"02.02.2022","5,2625","5,2687","5,3151","5,2543","-0,07%"
"01.02.2022","5,2660","5,2984","5,3178","5,2636","-0,73%"
"31.01.2022","5,3046","5,3691","5,3977","5,2832","-1,17%"
"28.01.2022","5,3676","5,4096","5,4324","5,3661","-0,73%"
"27.01.2022","5,4070","5,4330","5,4352","5,3531","-0,48%"
"26.01.2022","5,4329","5,4453","5,4675","5,3915","-0,21%"
"25.01.2022","5,4442","5,4880","5,5216","5,4277","-0,80%"
"24.01.2022","5,4882","5,4521","5,5247","5,4521","0,54%"
